ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.76252,0.07053,0.12912,4

ROUGE-2+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.36354,0.02395,0.04494,4

ROUGE-SU4+StopWordRemoval,FNS31608,SYSTEM1.TXT,0.49728,0.02850,0.05391,4

ROUGE-L+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.67010,0.11830,0.20110,3

ROUGE-1+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.79647,0.06198,0.11502,3

ROUGE-2+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.51921,0.02370,0.04533,3

ROUGE-SU4+StopWordRemoval,FNS32939,SYSTEM1.TXT,0.62511,0.02626,0.05041,3

ROUGE-L+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.60041,0.14055,0.22778,3

ROUGE-1+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.75377,0.09453,0.16799,3

ROUGE-2+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.34044,0.03417,0.06210,3

ROUGE-SU4+StopWordRemoval,FNS31970,SYSTEM1.TXT,0.49112,0.03941,0.07296,3

ROUGE-L+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.53453,0.16041,0.24676,4

ROUGE-1+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.69985,0.08229,0.14727,4

ROUGE-2+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.34318,0.03144,0.05760,4

ROUGE-SU4+StopWordRemoval,FNS32025,SYSTEM1.TXT,0.45371,0.03533,0.06556,4

ROUGE-L+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.67144,0.25546,0.37010,4

ROUGE-1+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.72359,0.25552,0.37767,4

ROUGE-2+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.46115,0.10459,0.17050,4

ROUGE-SU4+StopWordRemoval,FNS31058,SYSTEM1.TXT,0.55864,0.12089,0.19876,4

ROUGE-L+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.48163,0.15019,0.22897,3

ROUGE-1+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.64469,0.06750,0.12221,3

ROUGE-2+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.22301,0.01732,0.03215,3

ROUGE-SU4+StopWordRemoval,FNS32389,SYSTEM1.TXT,0.37558,0.02473,0.04640,3

ROUGE-L+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.54893,0.17117,0.26096,4

