ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.45825,0.02827,0.05325,3

ROUGE-L+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.49159,0.10752,0.17645,4

ROUGE-1+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.69120,0.05827,0.10747,4

ROUGE-2+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.29545,0.02116,0.03950,4

ROUGE-SU4+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.37946,0.02886,0.05364,4

ROUGE-L+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.63348,0.14504,0.23604,3

ROUGE-1+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.78549,0.06835,0.12575,3

ROUGE-2+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.32375,0.02737,0.05048,3

ROUGE-SU4+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.43123,0.03540,0.06544,3

ROUGE-L+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.65218,0.15030,0.24429,4

ROUGE-1+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.84114,0.08556,0.15533,4

ROUGE-2+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.45127,0.03988,0.07328,4

ROUGE-SU4+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.54062,0.04894,0.08976,4

ROUGE-L+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.49307,0.14504,0.22415,3

ROUGE-1+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.70353,0.07263,0.13167,3

ROUGE-2+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.31554,0.02660,0.04906,3

ROUGE-SU4+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.40519,0.03629,0.06662,3

ROUGE-L+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.53381,0.13219,0.21191,3

ROUGE-1+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.72962,0.07286,0.13249,3

ROUGE-2+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.33025,0.03225,0.05877,3

ROUGE-SU4+StopWordRemoval,FNS31855,SYSTEM1.TXT,0.41672,0.04009,0.07314,3

ROUGE-L+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.43429,0.20130,0.27509,3

ROUGE-1+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.61998,0.12822,0.21250,3

ROUGE-2+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.26889,0.05318,0.08879,3

ROUGE-SU4+StopWordRemoval,FNS31290,SYSTEM1.TXT,0.34384,0.06664,0.11165,3

ROUGE-L+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.69733,0.11277,0.19414,5

ROUGE-1+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.84549,0.08269,0.15064,5

ROUGE-2+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.39477,0.03593,0.06587,5

ROUGE-SU4+StopWordRemoval,FNS30887,SYSTEM1.TXT,0.50630,0.04600,0.08434,5

ROUGE-L+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.65769,0.15232,0.24736,4

ROUGE-1+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.80603,0.08696,0.15698,4

ROUGE-2+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.34638,0.03787,0.06828,4

ROUGE-SU4+StopWordRemoval,FNS30886,SYSTEM1.TXT,0.45605,0.04776,0.08646,4

ROUGE-L+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.53531,0.15513,0.24055,3

ROUGE-1+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.70587,0.11122,0.19216,3

ROUGE-2+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.26706,0.04037,0.07014,3

ROUGE-SU4+StopWordRemoval,FNS32380,SYSTEM1.TXT,0.37317,0.05640,0.09799,3

ROUGE-L+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.35716,0.15898,0.22002,3

ROUGE-1+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.55454,0.10489,0.17642,3

ROUGE-2+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.18597,0.03485,0.05870,3

ROUGE-SU4+StopWordRemoval,FNS31292,SYSTEM1.TXT,0.26627,0.04820,0.08162,3

ROUGE-L+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.54721,0.17268,0.26252,3

ROUGE-1+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.70741,0.11757,0.20163,3

ROUGE-2+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.28761,0.04736,0.08133,3

ROUGE-SU4+StopWordRemoval,FNS31050,SYSTEM1.TXT,0.37975,0.06032,0.10410,3

ROUGE-L+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.55297,0.13333,0.21486,3

ROUGE-1+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.71388,0.06338,0.11642,3

ROUGE-2+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.29269,0.02561,0.04709,3

ROUGE-SU4+StopWordRemoval,FNS32140,SYSTEM1.TXT,0.38983,0.03315,0.06110,3

ROUGE-L+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.37922,0.14733,0.21221,3

ROUGE-1+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.64290,0.09591,0.16692,3

ROUGE-2+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.30392,0.03699,0.06596,3

ROUGE-SU4+StopWordRemoval,FNS32020,SYSTEM1.TXT,0.38793,0.04949,0.08778,3

ROUGE-L+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.69886,0.09871,0.17298,4

ROUGE-1+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.87402,0.05607,0.10537,4

ROUGE-2+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.53959,0.02987,0.05661,4

ROUGE-SU4+StopWordRemoval,FNS32141,SYSTEM1.TXT,0.59561,0.03383,0.06402,4

ROUGE-L+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.46411,0.18840,0.26800,3

ROUGE-1+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.71014,0.12275,0.20931,3

ROUGE-2+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.31550,0.04257,0.07501,3

ROUGE-SU4+StopWordRemoval,FNS31053,SYSTEM1.TXT,0.40818,0.06018,0.10489,3

ROUGE-L+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.63493,0.16486,0.26175,3

ROUGE-1+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.80479,0.06795,0.12533,3

ROUGE-2+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.34561,0.02696,0.05001,3

ROUGE-SU4+StopWordRemoval,FNS32384,SYSTEM1.TXT,0.45611,0.03532,0.06555,3

ROUGE-L+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.54086,0.17733,0.26710,4

ROUGE-1+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.72974,0.12772,0.21740,4

ROUGE-2+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.41758,0.05505,0.09727,4

ROUGE-SU4+StopWordRemoval,FNS32021,SYSTEM1.TXT,0.49265,0.07052,0.12338,4

ROUGE-L+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.62239,0.14177,0.23094,3

ROUGE-1+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.79083,0.07613,0.13889,3

ROUGE-2+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.35669,0.03313,0.06063,3

ROUGE-SU4+StopWordRemoval,FNS32143,SYSTEM1.TXT,0.45117,0.04124,0.07557,3

ROUGE-L+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.52860,0.21601,0.30669,3

ROUGE-1+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.65017,0.22745,0.33700,3

ROUGE-2+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.29413,0.10925,0.15932,3

ROUGE-SU4+StopWordRemoval,FNS32144,SYSTEM1.TXT,0.37789,0.13433,0.19821,3

ROUGE-L+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.61745,0.13768,0.22515,3

ROUGE-1+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.77404,0.08808,0.15815,3

ROUGE-2+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.31456,0.03588,0.06441,3

ROUGE-SU4+StopWordRemoval,FNS30888,SYSTEM1.TXT,0.42148,0.04644,0.08366,3

ROUGE-L+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.49070,0.13149,0.20740,4

ROUGE-1+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.68747,0.08604,0.15293,4

ROUGE-2+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.28748,0.03404,0.06087,4

ROUGE-SU4+StopWordRemoval,FNS31857,SYSTEM1.TXT,0.37500,0.04362,0.07814,4

ROUGE-L+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.62435,0.12950,0.21451,3

ROUGE-1+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.81109,0.04583,0.08675,3

ROUGE-2+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.34109,0.01846,0.03502,3

ROUGE-SU4+StopWordRemoval,FNS32825,SYSTEM1.TXT,0.45172,0.02423,0.04599,3

ROUGE-L+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.56274,0.11446,0.19023,3

ROUGE-1+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.78963,0.05940,0.11048,3

ROUGE-2+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.37410,0.02025,0.03843,3

ROUGE-SU4+StopWordRemoval,FNS31979,SYSTEM1.TXT,0.47016,0.02867,0.05405,3

ROUGE-L+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.66737,0.09988,0.17376,4

ROUGE-1+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.85585,0.05701,0.10690,4

ROUGE-2+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.36790,0.02619,0.04889,4

ROUGE-SU4+StopWordRemoval,FNS31617,SYSTEM1.TXT,0.47725,0.03247,0.06081,4

ROUGE-L+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.64462,0.15866,0.25464,3

ROUGE-1+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.80181,0.12488,0.21611,3

ROUGE-2+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.54921,0.05769,0.10441,3

ROUGE-SU4+StopWordRemoval,FNS31618,SYSTEM1.TXT,0.60343,0.07106,0.12714,3

ROUGE-L+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.57037,0.16240,0.25281,3

ROUGE-1+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.76503,0.15359,0.25582,3

ROUGE-2+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.37863,0.06488,0.11078,3

ROUGE-SU4+StopWordRemoval,FNS31023,SYSTEM1.TXT,0.46828,0.08475,0.14352,3

ROUGE-L+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.41515,0.14116,0.21068,4

ROUGE-1+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.62965,0.07005,0.12608,4

ROUGE-2+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.22942,0.02271,0.04133,4

ROUGE-SU4+StopWordRemoval,FNS31265,SYSTEM1.TXT,0.33204,0.03387,0.06148,4

ROUGE-L+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.48244,0.16701,0.24812,4

ROUGE-1+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.67068,0.14285,0.23553,4

ROUGE-2+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.24618,0.04447,0.07533,4

ROUGE-SU4+StopWordRemoval,FNS32113,SYSTEM1.TXT,0.35371,0.06732,0.11312,4

ROUGE-L+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.51984,0.10566,0.17562,4

ROUGE-1+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.74235,0.07273,0.13248,4

ROUGE-2+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.37272,0.03594,0.06556,4

ROUGE-SU4+StopWordRemoval,FNS32597,SYSTEM1.TXT,0.45775,0.04407,0.08040,4

